'algorithm';'10';'100';'1000';'10000';'100000';'1000000'
'HEAP SORT';'23';'522';'8181';'112750';'1423141';'17103433'
'BUBLE SORT';'7';'394';'4489';'44730';'447472';'4505495'
'QUICK SORT';'10';'238';'3958';'56114';'724980';'8957363'
'INSERTION SORT';'21';'2469';'239421';'22418380';'2257969342';'225043097766'
'SHELL SORT';'4';'157';'1737';'19188';'181882';'1884237'
'SELECTION SORT';'10';'100';'1000';'10000';'100000';'1000000'
